,Video_id,Title,Date_of_publish,Views,Likes,Dislikes
0,GiML1Ogt9rY,NIT Kurukshetra,2021-11-26T12:04:56Z,6261,266,266
1,lX1jjExINBM,NIT Kurukshetra,2021-11-26T12:02:46Z,4482,266,156
2,pqyTOormAgA,"R. J. College Of Arts, Science & Commerce",2021-11-23T08:52:34Z,5342,156,132
3,Twy7pNEqEnE,"DE PAUL INSTITUTE OF SCIENCE & TECHNOLOGY,ANGAMALY",2021-11-23T08:40:51Z,7563,132,356
4,LsDodWuXZpo,"CSMSS,CHH. SHAHU COLLEGE OF ENGINEERING",2021-11-22T07:00:15Z,7829,356,319
5,f9MF-_Dew_s,Vivekananda Institute of Professional Studies,2021-11-22T06:59:17Z,6515,319,265
6,L-49kjvWu2w,SWAMI KESHVANAND INSTITUTE OF TECHNOLOGY MANAGEMENT & GRAMOTHAN,2021-11-22T06:56:16Z,7316,265,468
7,qjbG6dBAVRo,NSHM KNOWLEDGE CAMPUS,2021-11-18T09:40:08Z,4408,468,161
8,HHsNwszN7Kc,LIVE - Talk with the Global Winners _ IBM CALL FOR CODE CHALLENGE - 2021.,2021-11-10T06:08:09Z,9678,161,384
9,KCDvrtzZ-_g,NPTEL Awareness Workshop - Vachana Pitamaha Dr.PGH College of Engineering and Technology,2021-10-12T07:43:15Z,131849,384,9354
10,zb07fsnMXgE,LIVE _ Launch of GATE PORTAL,2020-07-16T10:32:23Z,9857,9354,156
11,AkABqOdDoYU,Why NPTEL Webinar???,2020-08-12T12:43:46Z,2912,156,30
12,fKp_VA6-f-4,Faculty Colloquium - Prof Sudakar Chandran,2020-09-08T04:28:19Z,27228,30,410
13,dYfGffnzXxA,NPTEL _ Translation Access Instructions,2020-09-09T05:18:46Z,1179,410,15
14,oeJbTVnZCvc,Feedback Video,2020-11-30T05:04:11Z,2084,15,68
15,QqFnJ1OZoM0,Leader,2021-07-29T11:58:59Z,2919,68,32
16,Mlgj4ND96ro,"Basic thermodynamic functions: Enthalpy, entropy, configurational entropy, Gibbs free energy",2021-07-29T12:01:30Z,1887,32,34
17,Jmx9CcyX25s,"State of equilibrium: Chemical potential, activity, equilibrium between solutions,...",2021-07-29T12:04:00Z,930,34,21
18,u6mHFUOfsWw,"Case study: Mechanical alloying, alloying by deformation.",2021-07-29T12:05:41Z,1236,21,31
19,ZKeA47WfN6Y,Computer calculation of phase diagrams.,2021-07-29T12:07:39Z,938,31,29
20,,"Thermodynamics of irreversible processes: Multiple irreversible processes,...",,,29,
